Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,47200000,0.016560,1635177473.725511,
Projection,linear,47300000,0.016542,1638637195.447775,
Projection,linear,47400000,0.016525,1642096917.170038,
Projection,linear,47500000,0.016507,1645556638.892302,
Projection,linear,47600000,0.016490,1649016360.614565,
Projection,linear,47700000,0.016472,1652476082.336828,
Projection,linear,47800000,0.016455,1655935804.059092,
Projection,linear,47900000,0.016438,1659395525.781355,
Projection,linear,48000000,0.016420,1662855247.503618,
Projection,linear,48100000,0.016403,1666314969.225882,
Projection,linear,48200000,0.016386,1669774690.948145,
Projection,linear,48300000,0.016369,1673234412.670408,
Projection,linear,48400000,0.016352,1676694134.392672,
Projection,linear,48500000,0.016335,1680153856.114935,
Projection,linear,48600000,0.016318,1683613577.837198,
Projection,linear,48700000,0.016301,1687073299.559462,
Projection,linear,48800000,0.016285,1690533021.281725,
Projection,linear,48900000,0.016268,1693992743.003989,
Projection,linear,49000000,0.016251,1697452464.726252,
Projection,linear,49100000,0.016234,1700912186.448515,
Projection,linear,49200000,0.016218,1704371908.170779,
Projection,linear,49300000,0.016201,1707831629.893042,
Projection,linear,49400000,0.016185,1711291351.615305,
Projection,linear,49500000,0.016168,1714751073.337569,
Projection,linear,49600000,0.016152,1718210795.059832,
Projection,linear,49700000,0.016136,1721670516.782095,
Projection,linear,49800000,0.016119,1725130238.504359,
Projection,linear,49900000,0.016103,1728589960.226622,
Projection,linear,50000000,0.016087,1732049681.948885,
Projection,linear,50100000,0.016071,1735509403.671149,
Projection,linear,50200000,0.016055,1738969125.393412,
Projection,linear,50300000,0.016039,1742428847.115675,
Projection,linear,50400000,0.016023,1745888568.837939,
Projection,linear,50500000,0.016007,1749348290.560202,
Projection,linear,50600000,0.015991,1752808012.282465,
Projection,linear,50700000,0.015975,1756267734.004729,
Projection,linear,50800000,0.015959,1759727455.726992,
Projection,linear,50900000,0.015943,1763187177.449255,
Projection,linear,51000000,0.015927,1766646899.171519,
Projection,linear,51100000,0.015912,1770106620.893782,
Projection,linear,51200000,0.015896,1773566342.616045,
Projection,linear,51300000,0.015881,1777026064.338309,
Projection,linear,51400000,0.015865,1780485786.060572,
Projection,linear,51500000,0.015850,1783945507.782835,
Projection,linear,51600000,0.015834,1787405229.505099,
Projection,linear,51700000,0.015819,1790864951.227362,
Projection,linear,51800000,0.015803,1794324672.949625,
Projection,linear,51900000,0.015788,1797784394.671889,
Projection,linear,52000000,0.015773,1801244116.394152,
Projection,linear,52100000,0.015757,1804703838.116416,
Projection,linear,52200000,0.015742,1808163559.838679,
Projection,linear,52300000,0.015727,1811623281.560942,
Projection,linear,52400000,0.015712,1815083003.283206,
Projection,linear,52500000,0.015697,1818542725.005469,
Projection,linear,52600000,0.015682,1822002446.727732,
Projection,linear,52700000,0.015667,1825462168.449996,
Projection,linear,52800000,0.015652,1828921890.172259,
Projection,linear,52900000,0.015637,1832381611.894522,
Projection,linear,53000000,0.015622,1835841333.616786,
Projection,linear,53100000,0.015608,1839301055.339049,
Projection,linear,53200000,0.015593,1842760777.061313,
Projection,linear,53300000,0.015578,1846220498.783576,
Projection,linear,53400000,0.015563,1849680220.505839,
Projection,linear,53500000,0.015549,1853139942.228102,
Projection,linear,53600000,0.015534,1856599663.950366,
Projection,linear,53700000,0.015520,1860059385.672629,
Projection,linear,53800000,0.015505,1863519107.394892,
Projection,linear,53900000,0.015491,1866978829.117156,
Projection,linear,54000000,0.015476,1870438550.839419,
Projection,linear,54100000,0.015462,1873898272.561682,
Projection,linear,54200000,0.015447,1877357994.283946,
Projection,linear,54300000,0.015433,1880817716.006209,
Projection,linear,54400000,0.015419,1884277437.728473,
Projection,linear,54500000,0.015405,1887737159.450736,
Projection,linear,54600000,0.015390,1891196881.172999,
Projection,linear,54700000,0.015376,1894656602.895262,
Projection,linear,54800000,0.015362,1898116324.617526,
Projection,linear,54900000,0.015348,1901576046.339789,
